alpha,m0_target,z_init,tau_z,m_mean,m_ci_low,m_ci_high,count,converged_fraction,median_r_active,median_r_z,max_t_final
0.1,0.5,all_open,0.1000000014901161,0.8479840978980064,0.8425116837024689,0.8529394125565887,8,1.0,1.204738673199259e-06,5.988010265411958e-08,64.00000000000064
0.1,0.5,all_open,0.3000000119209289,0.9121694639325142,0.90671207010746,0.9176406998187303,8,1.0,1.3015413399998075e-06,1.2411796035394218e-07,66.00000000000053
0.1,0.5,all_open,1.0,0.9745109677314758,0.9712857414036989,0.9778247321024537,8,1.0,1.392719325347609e-06,4.834744515846978e-07,60.00000000000058
0.1,0.5,all_open,3.0,0.9901084676384926,0.9879711866378784,0.9923097118735313,8,1.0,1.4353256557373935e-06,1.532688941097149e-06,71.00000000000024
0.1,0.5,all_open,10.0,0.9931486546993256,0.9909515490755438,0.9951281558722258,8,1.0,1.4137840918579098e-06,3.151341661578044e-05,149.99999999999577
0.1,0.5,all_open,30.0,0.9934020191431046,0.9912149244919419,0.9954277276992798,8,1.0,1.3931297982531025e-06,0.0011127292527816999,256.99999999998994
0.1,0.5,all_open,100.0,0.9934046417474747,0.991198743134737,0.9954482145607472,8,1.0,1.4229849545065058e-06,0.0019866403890773,703.0000000000913
0.1,0.5,all_open,300.0,0.9934054836630821,0.9912331327795982,0.9954682365059853,8,1.0,1.330561639629343e-06,0.0019963475642725,2007.9999999992688
0.1,0.5,random,0.1000000014901161,0.8106591776013374,0.8029965721070766,0.8190139755606651,8,1.0,1.1153208164489946e-06,5.97952087844078e-08,63.00000000000063
0.1,0.5,random,0.3000000119209289,0.8287229537963867,0.8213555052876472,0.8360147848725319,8,1.0,1.1849058529569854e-06,1.1798428189990775e-07,69.00000000000036
0.1,0.5,random,1.0,0.8516886532306671,0.8441440612077713,0.8594834249466657,8,1.0,1.2150693919986862e-06,4.4028831780451583e-07,68.00000000000041
0.1,0.5,random,3.0,0.8642659112811089,0.8568726364523173,0.8717888370156288,8,1.0,1.2039711395710595e-06,1.3567938594860607e-06,91.99999999999903
0.1,0.5,random,10.0,0.8666608110070229,0.8580903485417366,0.8755809467285871,8,1.0,1.2094224413884868e-06,1.3994064374855952e-05,233.999999999991
0.1,0.5,random,30.0,0.8668974936008453,0.85488316193223,0.8776744693517685,8,1.0,1.201285146345322e-06,0.00089231017045675,516.0000000000488
0.1,0.5,random,100.0,0.8678444176912308,0.8566696271300316,0.878070592880249,8,1.0,1.3919592999195358e-06,0.0019911909475922003,925.0000000001418
0.1,0.5,random,300.0,0.8601239249110222,0.8384447863325477,0.8766144625842571,8,1.0,1.4947008840465814e-06,0.0019956465112045,2791.999999998556
0.1,0.699999988079071,all_open,0.1000000014901161,0.9202563837170601,0.9173738658428192,0.9231745589524507,8,1.0,1.2835816815121987e-06,6.376233585569936e-08,58.00000000000056
0.1,0.699999988079071,all_open,0.3000000119209289,0.9600050449371338,0.9575245108455419,0.962834213860333,8,1.0,1.3525491195908495e-06,1.3406481258471104e-07,59.00000000000057
0.1,0.699999988079071,all_open,1.0,0.9879063293337822,0.9859592225402594,0.9896658468991518,8,1.0,1.3876770572216164e-06,4.95678250445053e-07,61.0000000000006
0.1,0.699999988079071,all_open,3.0,0.9933462738990784,0.9915722012519836,0.994953483529389,8,1.0,1.378783920652782e-06,1.540964376545162e-06,79.99999999999973
0.1,0.699999988079071,all_open,10.0,0.993474468588829,0.9913360178470612,0.9954480411484837,8,1.0,1.4174635256136327e-06,1.1367309070919873e-05,132.99999999999673
0.1,0.699999988079071,all_open,30.0,0.9934073984622955,0.9912223219871521,0.9954296872019768,8,1.0,1.3108725419873141e-06,0.0010731811053119,256.99999999998994
0.1,0.699999988079071,all_open,100.0,0.9934046491980553,0.991197612695396,0.9954401552677155,8,1.0,1.3966019959601409e-06,0.0019856019644065998,703.0000000000913
0.1,0.699999988079071,all_open,300.0,0.9934054836630821,0.9912019845098257,0.9954281024634838,8,1.0,1.4374275750784003e-06,0.0019959788769483002,2007.9999999992688
0.1,0.699999988079071,random,0.1000000014901161,0.8875612616539001,0.8834115158766508,0.8914719842374325,8,1.0,1.2450728140928543e-06,6.139828556683824e-08,66.00000000000053
0.1,0.699999988079071,random,0.3000000119209289,0.9001174867153168,0.8955157607793808,0.904995508491993,8,1.0,1.292498834859459e-06,1.3045040248016448e-07,62.00000000000061
0.1,0.699999988079071,random,1.0,0.9124098494648933,0.9080227464437485,0.9171141237020493,8,1.0,1.2864260230617272e-06,4.514406413136385e-07,65.00000000000058
0.1,0.699999988079071,random,3.0,0.916029192507267,0.9108356403186917,0.9208345785737038,8,1.0,1.3130733680615729e-06,1.4111608948041976e-06,82.99999999999956
0.1,0.699999988079071,random,10.0,0.9180154502391815,0.9131436495110392,0.9225231185555458,8,1.0,1.3164492047207242e-06,1.6621626855339855e-05,164.9999999999949
0.1,0.699999988079071,random,30.0,0.918616771697998,0.913404569029808,0.9232838908210397,8,1.0,1.2952826868650822e-06,0.00079770220327185,461.0000000000363
0.1,0.699999988079071,random,100.0,0.9181541576981544,0.9132097363471985,0.9227575084194541,8,1.0,1.4050138446104057e-06,0.0019850182579830003,889.0000000001336
0.1,0.699999988079071,random,300.0,0.9181997254490852,0.9132199142128229,0.9227646520361305,8,1.0,1.5607544744677394e-06,0.0019971473375334997,2759.9999999985853
0.1,0.8999999761581421,all_open,0.1000000014901161,0.974863737821579,0.9736423268914223,0.9762820824980736,8,1.0,1.3810190228411035e-06,6.483733017148552e-08,60.00000000000058
0.1,0.8999999761581421,all_open,0.3000000119209289,0.9871031120419502,0.9858641847968102,0.9883586233481765,8,1.0,1.4300092297335676e-06,1.338490349667154e-07,61.0000000000006
0.1,0.8999999761581421,all_open,1.0,0.993844635784626,0.9922806024551392,0.9951601330190897,8,1.0,1.3843476542448894e-06,4.821536379040481e-07,62.00000000000061
0.1,0.8999999761581421,all_open,3.0,0.9945348054170609,0.992857351899147,0.99603237118572,8,1.0,1.421452721938328e-06,1.551733362248342e-06,75.99999999999996
0.1,0.8999999761581421,all_open,10.0,0.9936358854174614,0.9915852472186089,0.995545294508338,8,1.0,1.3802092962317582e-06,1.9296143364044838e-05,135.99999999999656
0.1,0.8999999761581421,all_open,30.0,0.993411086499691,0.9912625921890139,0.9953965097665787,8,1.0,1.3343689849375063e-06,0.00107226695399725,256.99999999998994
0.1,0.8999999761581421,all_open,100.0,0.9934046640992165,0.9911988079547882,0.9954391095787287,8,1.0,1.387596779532936e-06,0.00198495679069305,703.0000000000913
0.1,0.8999999761581421,all_open,300.0,0.9934054836630821,0.9912218898534775,0.9954694755375385,8,1.0,1.4688675867917814e-06,0.0019957609474658498,2007.9999999992688
0.1,0.8999999761581421,random,0.1000000014901161,0.9610288366675377,0.9593992382287979,0.9627798423171043,8,1.0,1.3457315415796836e-06,6.430398258316927e-08,58.00000000000056
0.1,0.8999999761581421,random,0.3000000119209289,0.9650438502430916,0.9631583489477634,0.9670770540833473,8,1.0,1.375393464278224e-06,1.3308591917393642e-07,63.00000000000063
