alpha,m0_target,m_mean,m_ci_low,m_ci_high,count,converged_fraction,median_residual
0.1,0.5,0.9934054911136627,0.9912166148424149,0.9953951040282846,8,1.0,1.8578482468001312e-06
0.1,0.699999988079071,0.9934055507183075,0.9912219921126961,0.9954338194802403,8,1.0,1.8370078578300308e-06
0.1,0.8999999761581421,0.9934055656194687,0.9912218520417809,0.9954285135492682,8,1.0,1.9731047018467507e-06
0.2,0.5,0.2123072315007448,0.1602522280067205,0.26666151732206345,8,1.0,5.1998868002556264e-06
0.2,0.699999988079071,0.2249420844018459,0.1637109214207157,0.2833445640513673,8,1.0,2.6228133833683387e-06
0.2,0.8999999761581421,0.2415701486170292,0.18843396198935802,0.29139386862516403,8,1.0,1.7703059711493552e-06
0.3,0.5,0.24096856079995632,0.18767580389976501,0.28977193199098106,8,1.0,1.4700098063258338e-06
0.3,0.699999988079071,0.2282294481992721,0.1769985552411526,0.2815439554397017,8,1.0,1.7484596241956751e-06
0.3,0.8999999761581421,0.2278186287730932,0.19674466280266636,0.26132200798019767,8,1.0,4.2707545730991114e-06
0.4,0.5,0.23045669123530388,0.19263956118375059,0.27093909308314323,8,1.0,3.841792647563125e-06
0.4,0.699999988079071,0.2613196801394224,0.22565777427516878,0.2991731259971857,8,1.0,1.0263647709507495e-06
0.4,0.8999999761581421,0.2475774921476841,0.21524337152950465,0.2783765494823456,8,1.0,3.1284381520890747e-06
0.5,0.5,0.2266510315239429,0.1911535412073135,0.2659807261079549,8,1.0,1.4404612329599331e-06
0.5,0.699999988079071,0.26877231523394585,0.24039904400706286,0.30076266825199127,8,1.0,1.0912214065683656e-06
0.5,0.8999999761581421,0.2600351106375456,0.22901099920272822,0.2897987551987171,8,1.0,3.0550619385394384e-06
